Arthela,YR,Date DD/MM/ÅÅÅÅ
Stenskvätta, Oenanthe oenanthe,2012,04/05/2012
Stenskvätta, Oenanthe oenanthe,2013,28/04/2013
Stenskvätta, Oenanthe oenanthe,2015,08/05/2015
Stenskvätta, Oenanthe oenanthe,2016,18/05/2016
Stenskvätta, Oenanthe oenanthe,2017,02/05/2017
Svarthakad buskskvätta, Saxicola torquata,1977,08/06/1977
Svarthakad buskskvätta, Saxicola torquata,1985,13/04/1985
Svarthakad buskskvätta, Saxicola torquata,2005,16/04/2005
Svarthakad buskskvätta, Saxicola torquata,2013,14/05/2013
Svartvit flugsnappare, Ficedula hypoleuca,1950,22/05/1950
Svartvit flugsnappare, Ficedula hypoleuca,1951,15/05/1951
Svartvit flugsnappare, Ficedula hypoleuca,1952,13/05/1952
Svartvit flugsnappare, Ficedula hypoleuca,1953,12/05/1953
Svartvit flugsnappare, Ficedula hypoleuca,1954,23/05/1954
Svartvit flugsnappare, Ficedula hypoleuca,1955,19/05/1955
Svartvit flugsnappare, Ficedula hypoleuca,1956,12/05/1956
Svartvit flugsnappare, Ficedula hypoleuca,1957,20/05/1957
Svartvit flugsnappare, Ficedula hypoleuca,1958,14/05/1958
Svartvit flugsnappare, Ficedula hypoleuca,1959,19/05/1959
Svartvit flugsnappare, Ficedula hypoleuca,1960,17/05/1960
Svartvit flugsnappare, Ficedula hypoleuca,1961,14/05/1961
Svartvit flugsnappare, Ficedula hypoleuca,1962,14/05/1962
Svartvit flugsnappare, Ficedula hypoleuca,1963,23/05/1963
Svartvit flugsnappare, Ficedula hypoleuca,1964,14/05/1964
Svartvit flugsnappare, Ficedula hypoleuca,1965,17/05/1965
Svartvit flugsnappare, Ficedula hypoleuca,1967,09/05/1967
Svartvit flugsnappare, Ficedula hypoleuca,1968,11/05/1968
Svartvit flugsnappare, Ficedula hypoleuca,1969,14/05/1969
Svartvit flugsnappare, Ficedula hypoleuca,1970,22/05/1970
Svartvit flugsnappare, Ficedula hypoleuca,1971,13/05/1971
Svartvit flugsnappare, Ficedula hypoleuca,1972,14/05/1972
Svartvit flugsnappare, Ficedula hypoleuca,1973,16/05/1973
Svartvit flugsnappare, Ficedula hypoleuca,1974,17/05/1974
Svartvit flugsnappare, Ficedula hypoleuca,1975,21/05/1975
Svartvit flugsnappare, Ficedula hypoleuca,1976,14/05/1976
Svartvit flugsnappare, Ficedula hypoleuca,1977,15/05/1977
Svartvit flugsnappare, Ficedula hypoleuca,1978,18/05/1978
Svartvit flugsnappare, Ficedula hypoleuca,1979,20/05/1979
Svartvit flugsnappare, Ficedula hypoleuca,1980,17/05/1980
Svartvit flugsnappare, Ficedula hypoleuca,1981,13/05/1981
Svartvit flugsnappare, Ficedula hypoleuca,1982,15/05/1982
Svartvit flugsnappare, Ficedula hypoleuca,1983,04/05/1983
Svartvit flugsnappare, Ficedula hypoleuca,1984,15/05/1984
Svartvit flugsnappare, Ficedula hypoleuca,1985,13/05/1985
Svartvit flugsnappare, Ficedula hypoleuca,1986,13/05/1986
Svartvit flugsnappare, Ficedula hypoleuca,1987,16/05/1987
Svartvit flugsnappare, Ficedula hypoleuca,1988,14/05/1988
Svartvit flugsnappare, Ficedula hypoleuca,1989,11/05/1989
Svartvit flugsnappare, Ficedula hypoleuca,1990,13/05/1990
Svartvit flugsnappare, Ficedula hypoleuca,1991,19/05/1991
Svartvit flugsnappare, Ficedula hypoleuca,1992,15/05/1992
Svartvit flugsnappare, Ficedula hypoleuca,1993,16/05/1993
Svartvit flugsnappare, Ficedula hypoleuca,1994,13/05/1994
Svartvit flugsnappare, Ficedula hypoleuca,1995,09/05/1995
Svartvit flugsnappare, Ficedula hypoleuca,1996,19/05/1996
Svartvit flugsnappare, Ficedula hypoleuca,1997,13/05/1997
Svartvit flugsnappare, Ficedula hypoleuca,1998,15/05/1998
Svartvit flugsnappare, Ficedula hypoleuca,1999,12/05/1999
Svartvit flugsnappare, Ficedula hypoleuca,2000,08/05/2000
Svartvit flugsnappare, Ficedula hypoleuca,2001,18/05/2001
Svartvit flugsnappare, Ficedula hypoleuca,2002,12/05/2002
Svartvit flugsnappare, Ficedula hypoleuca,2003,05/05/2003
Svartvit flugsnappare, Ficedula hypoleuca,2004,11/05/2004
Svartvit flugsnappare, Ficedula hypoleuca,2005,12/05/2005
Svartvit flugsnappare, Ficedula hypoleuca,2006,10/05/2006
Svartvit flugsnappare, Ficedula hypoleuca,2007,16/05/2007
Svartvit flugsnappare, Ficedula hypoleuca,2008,05/05/2008
Svartvit flugsnappare, Ficedula hypoleuca,2009,19/05/2009
Svartvit flugsnappare, Ficedula hypoleuca,2010,14/05/2010
Svartvit flugsnappare, Ficedula hypoleuca,2011,13/05/2011
Svartvit flugsnappare, Ficedula hypoleuca,2012,14/05/2012
Svartvit flugsnappare, Ficedula hypoleuca,2013,21/05/2013
Svartvit flugsnappare, Ficedula hypoleuca,2014,13/05/2014
Svartvit flugsnappare, Ficedula hypoleuca,2015,04/05/2015
Svartvit flugsnappare, Ficedula hypoleuca,2016,15/05/2016
Svartvit flugsnappare, Ficedula hypoleuca,2017,11/05/2017
Svarthätta, Sylvia atricapilla,1950,19/05/1950
Svarthätta, Sylvia atricapilla,1951,02/06/1951
Svarthätta, Sylvia atricapilla,1952,18/05/1952
Svarthätta, Sylvia atricapilla,1953,29/05/1953
Svarthätta, Sylvia atricapilla,1954,29/05/1954
Svarthätta, Sylvia atricapilla,1955,28/05/1955
Svarthätta, Sylvia atricapilla,1956,29/05/1956
Svarthätta, Sylvia atricapilla,1957,30/05/1957
Svarthätta, Sylvia atricapilla,1958,21/05/1958
Svarthätta, Sylvia atricapilla,1959,25/05/1959
Svarthätta, Sylvia atricapilla,1960,15/05/1960
Svarthätta, Sylvia atricapilla,1961,22/05/1961
Svarthätta, Sylvia atricapilla,1962,24/05/1962
Svarthätta, Sylvia atricapilla,1963,31/05/1963
Svarthätta, Sylvia atricapilla,1964,16/05/1964
Svarthätta, Sylvia atricapilla,1965,28/05/1965
Svarthätta, Sylvia atricapilla,1967,11/05/1967
Svarthätta, Sylvia atricapilla,1968,24/05/1968
Svarthätta, Sylvia atricapilla,1969,21/05/1969
Svarthätta, Sylvia atricapilla,1970,31/05/1970
Svarthätta, Sylvia atricapilla,1971,21/05/1971
Svarthätta, Sylvia atricapilla,1972,17/05/1972
Svarthätta, Sylvia atricapilla,1973,19/05/1973
Svarthätta, Sylvia atricapilla,1974,20/05/1974
Svarthätta, Sylvia atricapilla,1975,20/05/1975
Svarthätta, Sylvia atricapilla,1976,23/05/1976
Svarthätta, Sylvia atricapilla,1977,22/05/1977
Svarthätta, Sylvia atricapilla,1978,24/05/1978
Svarthätta, Sylvia atricapilla,1979,19/05/1979
Svarthätta, Sylvia atricapilla,1980,18/05/1980
Svarthätta, Sylvia atricapilla,1981,17/05/1981
Svarthätta, Sylvia atricapilla,1982,17/05/1982
Svarthätta, Sylvia atricapilla,1983,12/05/1983
Svarthätta, Sylvia atricapilla,1984,18/05/1984
Svarthätta, Sylvia atricapilla,1985,15/05/1985
Svarthätta, Sylvia atricapilla,1986,14/05/1986
Svarthätta, Sylvia atricapilla,1987,27/05/1987
Svarthätta, Sylvia atricapilla,1988,19/05/1988
Svarthätta, Sylvia atricapilla,1989,15/05/1989
Svarthätta, Sylvia atricapilla,1990,14/05/1990
Svarthätta, Sylvia atricapilla,1991,19/05/1991
Svarthätta, Sylvia atricapilla,1992,07/05/1992
Svarthätta, Sylvia atricapilla,1993,24/05/1993
Svarthätta, Sylvia atricapilla,1994,15/05/1994
Svarthätta, Sylvia atricapilla,1995,11/05/1995
Svarthätta, Sylvia atricapilla,1996,22/05/1996
Svarthätta, Sylvia atricapilla,1997,18/05/1997
Svarthätta, Sylvia atricapilla,1998,15/05/1998
Svarthätta, Sylvia atricapilla,1999,05/05/1999
Svarthätta, Sylvia atricapilla,2000,16/05/2000
Svarthätta, Sylvia atricapilla,2001,15/05/2001
Svarthätta, Sylvia atricapilla,2002,16/05/2002
Svarthätta, Sylvia atricapilla,2003,07/05/2003
Svarthätta, Sylvia atricapilla,2004,12/05/2004
Svarthätta, Sylvia atricapilla,2005,13/05/2005
Svarthätta, Sylvia atricapilla,2006,10/05/2006
Svarthätta, Sylvia atricapilla,2007,05/05/2007
Svarthätta, Sylvia atricapilla,2008,07/05/2008
Svarthätta, Sylvia atricapilla,2009,16/05/2009
Svarthätta, Sylvia atricapilla,2010,13/05/2010
Svarthätta, Sylvia atricapilla,2011,05/05/2011
Svarthätta, Sylvia atricapilla,2012,14/05/2012
Svarthätta, Sylvia atricapilla,2013,11/05/2013
Svarthätta, Sylvia atricapilla,2014,11/05/2014
Svarthätta, Sylvia atricapilla,2015,02/05/2015
Svarthätta, Sylvia atricapilla,2016,04/05/2016
Svarthätta, Sylvia atricapilla,2017,20/05/2017
Svartmes, Parus ater,1959,28/03/1959
Svartmes, Parus ater,1974,11/04/1974
Svartmes, Parus ater,1975,12/05/1975
Svartmes, Parus ater,1983,21/04/1983
Svartmes, Parus ater,1985,24/04/1985
Svartmes, Parus ater,1990,15/04/1990
Svartmes, Parus ater,1991,07/04/1991
Svartmes, Parus ater,1992,19/03/1992
Svartmes, Parus ater,1994,14/04/1994
Svartmes, Parus ater,1998,30/03/1998
Svartmes, Parus ater,2002,13/04/2002
Svartmes, Parus ater,2003,05/05/2003
Svartmes, Parus ater,2004,09/04/2004
Svartmes, Parus ater,2005,28/04/2005
Svartmes, Parus ater,2008,30/03/2008
Svartmes, Parus ater,2011,15/04/2011
Svartmes, Parus ater,2013,20/04/2013
Svart rödstjärt, Phoenicurus ochruros,1950,18/05/1950
Svart rödstjärt, Phoenicurus ochruros,1951,16/05/1951
Svart rödstjärt, Phoenicurus ochruros,1952,07/05/1952
Svart rödstjärt, Phoenicurus ochruros,1953,03/05/1953
Svart rödstjärt, Phoenicurus ochruros,1954,01/05/1954
Svart rödstjärt, Phoenicurus ochruros,1955,28/05/1955
Svart rödstjärt, Phoenicurus ochruros,1956,17/05/1956
Svart rödstjärt, Phoenicurus ochruros,1957,12/05/1957
Svart rödstjärt, Phoenicurus ochruros,1958,20/05/1958
Svart rödstjärt, Phoenicurus ochruros,1960,28/04/1960
Svart rödstjärt, Phoenicurus ochruros,1961,04/05/1961
Svart rödstjärt, Phoenicurus ochruros,1962,15/05/1962
Svart rödstjärt, Phoenicurus ochruros,1963,17/05/1963
Svart rödstjärt, Phoenicurus ochruros,1964,02/05/1964
Svart rödstjärt, Phoenicurus ochruros,1965,05/05/1965
Svart rödstjärt, Phoenicurus ochruros,1966,17/05/1966
Svart rödstjärt, Phoenicurus ochruros,1967,04/05/1967
Svart rödstjärt, Phoenicurus ochruros,1968,16/04/1968
Svart rödstjärt, Phoenicurus ochruros,1969,01/05/1969
Svart rödstjärt, Phoenicurus ochruros,1970,25/04/1970
Svart rödstjärt, Phoenicurus ochruros,1971,19/04/1971
Svart rödstjärt, Phoenicurus ochruros,1972,30/04/1972
Svart rödstjärt, Phoenicurus ochruros,1973,16/04/1973
Svart rödstjärt, Phoenicurus ochruros,1974,05/05/1974
Svart rödstjärt, Phoenicurus ochruros,1975,04/05/1975
Svart rödstjärt, Phoenicurus ochruros,1976,26/04/1976
Svart rödstjärt, Phoenicurus ochruros,1977,09/05/1977
Svart rödstjärt, Phoenicurus ochruros,1978,09/05/1978
Svart rödstjärt, Phoenicurus ochruros,1979,17/04/1979
Svart rödstjärt, Phoenicurus ochruros,1980,30/04/1980
Svart rödstjärt, Phoenicurus ochruros,1981,20/04/1981
Svart rödstjärt, Phoenicurus ochruros,1982,07/05/1982
Svart rödstjärt, Phoenicurus ochruros,1983,02/05/1983
Svart rödstjärt, Phoenicurus ochruros,1984,24/04/1984
Svart rödstjärt, Phoenicurus ochruros,1985,11/05/1985
Svart rödstjärt, Phoenicurus ochruros,1986,22/04/1986
Svart rödstjärt, Phoenicurus ochruros,1987,29/04/1987
Svart rödstjärt, Phoenicurus ochruros,1988,05/05/1988
Svart rödstjärt, Phoenicurus ochruros,1989,28/04/1989
Svart rödstjärt, Phoenicurus ochruros,1990,30/04/1990
Svart rödstjärt, Phoenicurus ochruros,1991,25/04/1991
Svart rödstjärt, Phoenicurus ochruros,1992,01/05/1992
Svart rödstjärt, Phoenicurus ochruros,1993,28/04/1993
Svart rödstjärt, Phoenicurus ochruros,1994,18/04/1994
Svart rödstjärt, Phoenicurus ochruros,1995,04/05/1995
Svart rödstjärt, Phoenicurus ochruros,1996,27/04/1996
Svart rödstjärt, Phoenicurus ochruros,1997,11/05/1997
Svart rödstjärt, Phoenicurus ochruros,1998,03/05/1998
Svart rödstjärt, Phoenicurus ochruros,1999,28/04/1999
Svart rödstjärt, Phoenicurus ochruros,2000,22/04/2000
Svart rödstjärt, Phoenicurus ochruros,2001,04/05/2001
Svart rödstjärt, Phoenicurus ochruros,2002,28/04/2002
Svart rödstjärt, Phoenicurus ochruros,2003,25/04/2003
Svart rödstjärt, Phoenicurus ochruros,2004,27/04/2004
Svart rödstjärt, Phoenicurus ochruros,2005,27/04/2005
Svart rödstjärt, Phoenicurus ochruros,2006,04/05/2006
Svart rödstjärt, Phoenicurus ochruros,2007,21/04/2007
Svart rödstjärt, Phoenicurus ochruros,2008,26/04/2008
Svart rödstjärt, Phoenicurus ochruros,2009,23/04/2009
Svart rödstjärt, Phoenicurus ochruros,2010,18/04/2010
Svart rödstjärt, Phoenicurus ochruros,2011,21/04/2011
Svart rödstjärt, Phoenicurus ochruros,2012,22/04/2012
Svart rödstjärt, Phoenicurus ochruros,2013,27/04/2013
Svart rödstjärt, Phoenicurus ochruros,2014,24/04/2014
Svart rödstjärt, Phoenicurus ochruros,2015,28/04/2015
Svart rödstjärt, Phoenicurus ochruros,2016,29/04/2016
Svart rödstjärt, Phoenicurus ochruros,2017,23/04/2017
Svarthuvad sparv, Emberiza melanocephala,1958,30/05/1958
Svarthuvad sparv, Emberiza melanocephala,1978,29/05/1978
Svartpannad törnskata, Lanius minor,1972,19/05/1972
Svärta, Melanitta fusca,1977,23/05/1977
Trädgårdssångare, Sylvia borin,1950,23/05/1950
Trädgårdssångare, Sylvia borin,1951,30/05/1951
Trädgårdssångare, Sylvia borin,1952,25/05/1952
Trädgårdssångare, Sylvia borin,1953,29/05/1953
Trädgårdssångare, Sylvia borin,1954,28/05/1954
Trädgårdssångare, Sylvia borin,1955,29/05/1955
Trädgårdssångare, Sylvia borin,1956,30/05/1956
Trädgårdssångare, Sylvia borin,1957,01/06/1957
Trädgårdssångare, Sylvia borin,1958,31/05/1958
Trädgårdssångare, Sylvia borin,1959,27/05/1959
Trädgårdssångare, Sylvia borin,1960,23/05/1960
Trädgårdssångare, Sylvia borin,1961,27/05/1961
Trädgårdssångare, Sylvia borin,1962,31/05/1962
Trädgårdssångare, Sylvia borin,1963,03/06/1963
Trädgårdssångare, Sylvia borin,1964,28/05/1964
Trädgårdssångare, Sylvia borin,1965,28/05/1965
Trädgårdssångare, Sylvia borin,1968,27/05/1968
Trädgårdssångare, Sylvia borin,1969,29/05/1969
Trädgårdssångare, Sylvia borin,1970,31/05/1970
Trädgårdssångare, Sylvia borin,1971,27/05/1971
Trädgårdssångare, Sylvia borin,1972,26/05/1972
Trädgårdssångare, Sylvia borin,1973,28/05/1973
Trädgårdssångare, Sylvia borin,1974,30/05/1974
Trädgårdssångare, Sylvia borin,1975,27/05/1975
Trädgårdssångare, Sylvia borin,1976,31/05/1976
Trädgårdssångare, Sylvia borin,1977,28/05/1977
Trädgårdssångare, Sylvia borin,1978,30/05/1978
Trädgårdssångare, Sylvia borin,1979,27/05/1979
Trädgårdssångare, Sylvia borin,1980,31/05/1980
Trädgårdssångare, Sylvia borin,1981,26/05/1981
Trädgårdssångare, Sylvia borin,1982,24/05/1982
Trädgårdssångare, Sylvia borin,1983,30/05/1983
Trädgårdssångare, Sylvia borin,1984,01/06/1984
Trädgårdssångare, Sylvia borin,1985,30/05/1985
Trädgårdssångare, Sylvia borin,1986,26/05/1986
Trädgårdssångare, Sylvia borin,1987,02/06/1987
Trädgårdssångare, Sylvia borin,1988,30/05/1988
Trädgårdssångare, Sylvia borin,1989,02/06/1989
Trädgårdssångare, Sylvia borin,1990,23/05/1990
Trädgårdssångare, Sylvia borin,1991,30/05/1991
Trädgårdssångare, Sylvia borin,1992,24/05/1992
Trädgårdssångare, Sylvia borin,1993,25/05/1993
Trädgårdssångare, Sylvia borin,1994,20/05/1994
Trädgårdssångare, Sylvia borin,1995,26/05/1995
Trädgårdssångare, Sylvia borin,1996,26/05/1996
Trädgårdssångare, Sylvia borin,1997,26/05/1997
Trädgårdssångare, Sylvia borin,1998,25/05/1998
Trädgårdssångare, Sylvia borin,1999,17/05/1999
Trädgårdssångare, Sylvia borin,2000,19/05/2000
Trädgårdssångare, Sylvia borin,2001,27/05/2001
Trädgårdssångare, Sylvia borin,2002,25/05/2002
Trädgårdssångare, Sylvia borin,2003,23/05/2003
Trädgårdssångare, Sylvia borin,2004,26/05/2004
Trädgårdssångare, Sylvia borin,2005,22/05/2005
Trädgårdssångare, Sylvia borin,2006,24/05/2006
Trädgårdssångare, Sylvia borin,2007,31/05/2007
Trädgårdssångare, Sylvia borin,2008,23/05/2008
Trädgårdssångare, Sylvia borin,2009,23/05/2009
Trädgårdssångare, Sylvia borin,2010,26/05/2010
Trädgårdssångare, Sylvia borin,2011,29/05/2011
Trädgårdssångare, Sylvia borin,2012,22/05/2012
Trädgårdssångare, Sylvia borin,2013,23/05/2013
Trädgårdssångare, Sylvia borin,2014,27/05/2014
Trädgårdssångare, Sylvia borin,2015,18/05/2015
Trädgårdssångare, Sylvia borin,2016,23/05/2016
Trädgårdssångare, Sylvia borin,2017,26/05/2017
Rödstrupig sångare, Sylvia cantillans,1976,14/06/1976
Rödstrupig sångare, Sylvia cantillans,1995,13/06/1995
Rödstrupig sångare, Sylvia cantillans,1997,03/06/1997
Sydnäktergal, Luscinia megarhynchos,1971,04/06/1971
Sydnäktergal, Luscinia megarhynchos,1986,17/05/1986
Sydnäktergal, Luscinia megarhynchos,1989,01/05/1989
Sydnäktergal, Luscinia megarhynchos,1995,01/06/1995
Sydnäktergal, Luscinia megarhynchos,1999,04/05/1999
Sydnäktergal, Luscinia megarhynchos,2017,28/05/2017
Provencesångare, Sylvia undata,1983,23/05/1983
Sånglärka, Alauda arvensis,1953,16/04/1953
Sånglärka, Alauda arvensis,1955,23/05/1955
Sånglärka, Alauda arvensis,1960,14/06/1960
Sånglärka, Alauda arvensis,1965,11/04/1965
Sånglärka, Alauda arvensis,1970,24/04/1970
Sånglärka, Alauda arvensis,1971,28/03/1971
Sånglärka, Alauda arvensis,1972,14/04/1972
Sånglärka, Alauda arvensis,1974,11/06/1974
Sånglärka, Alauda arvensis,1976,19/04/1976
Sånglärka, Alauda arvensis,1977,12/06/1977
Sånglärka, Alauda arvensis,1980,15/05/1980
Sånglärka, Alauda arvensis,1983,15/06/1983
Sånglärka, Alauda arvensis,1988,18/03/1988
Sånglärka, Alauda arvensis,1990,27/05/1990
Sånglärka, Alauda arvensis,2013,10/06/2013
Sånglärka, Alauda arvensis,2015,08/06/2015
Sånglärka, Alauda arvensis,2016,04/04/2016
Sävsparv, Emberiza schoeniclus,1950,23/05/1950
Sävsparv, Emberiza schoeniclus,1951,09/05/1951
Sävsparv, Emberiza schoeniclus,1952,04/05/1952
Sävsparv, Emberiza schoeniclus,1953,12/05/1953
Sävsparv, Emberiza schoeniclus,1955,11/05/1955
Sävsparv, Emberiza schoeniclus,1956,18/05/1956
Sävsparv, Emberiza schoeniclus,1957,09/05/1957
Sävsparv, Emberiza schoeniclus,1958,10/05/1958
Sävsparv, Emberiza schoeniclus,1959,25/04/1959
Sävsparv, Emberiza schoeniclus,1960,08/05/1960
Sävsparv, Emberiza schoeniclus,1961,04/05/1961
Sävsparv, Emberiza schoeniclus,1962,12/05/1962
Sävsparv, Emberiza schoeniclus,1963,26/04/1963
Sävsparv, Emberiza schoeniclus,1964,30/04/1964
Sävsparv, Emberiza schoeniclus,1965,26/04/1965
Sävsparv, Emberiza schoeniclus,1967,30/04/1967
Sävsparv, Emberiza schoeniclus,1968,29/04/1968
Sävsparv, Emberiza schoeniclus,1969,05/05/1969
Sävsparv, Emberiza schoeniclus,1970,10/05/1970
Sävsparv, Emberiza schoeniclus,1971,26/04/1971
Sävsparv, Emberiza schoeniclus,1972,24/04/1972
Sävsparv, Emberiza schoeniclus,1973,29/04/1973
Sävsparv, Emberiza schoeniclus,1974,02/05/1974
Sävsparv, Emberiza schoeniclus,1975,27/04/1975
Sävsparv, Emberiza schoeniclus,1976,21/04/1976
Sävsparv, Emberiza schoeniclus,1977,08/05/1977
Sävsparv, Emberiza schoeniclus,1978,07/05/1978
Sävsparv, Emberiza schoeniclus,1979,24/04/1979
Sävsparv, Emberiza schoeniclus,1980,28/04/1980
Sävsparv, Emberiza schoeniclus,1981,26/04/1981
Sävsparv, Emberiza schoeniclus,1982,27/04/1982
Sävsparv, Emberiza schoeniclus,1983,27/04/1983
Sävsparv, Emberiza schoeniclus,1984,26/04/1984
Sävsparv, Emberiza schoeniclus,1985,17/04/1985
Sävsparv, Emberiza schoeniclus,1986,12/04/1986
Sävsparv, Emberiza schoeniclus,1987,17/04/1987
Sävsparv, Emberiza schoeniclus,1988,27/04/1988
Sävsparv, Emberiza schoeniclus,1989,02/05/1989
Sävsparv, Emberiza schoeniclus,1990,26/04/1990
Sävsparv, Emberiza schoeniclus,1991,29/04/1991
Sävsparv, Emberiza schoeniclus,1992,25/04/1992
Sävsparv, Emberiza schoeniclus,1993,28/04/1993
Sävsparv, Emberiza schoeniclus,1994,19/04/1994
Sävsparv, Emberiza schoeniclus,1995,06/05/1995
Sävsparv, Emberiza schoeniclus,1996,26/04/1996
Sävsparv, Emberiza schoeniclus,1997,08/05/1997
Sävsparv, Emberiza schoeniclus,1998,25/04/1998
Sävsparv, Emberiza schoeniclus,1999,24/04/1999
Sävsparv, Emberiza schoeniclus,2000,01/05/2000
Sävsparv, Emberiza schoeniclus,2001,21/04/2001
Sävsparv, Emberiza schoeniclus,2002,24/04/2002
Sävsparv, Emberiza schoeniclus,2003,06/04/2003
Sävsparv, Emberiza schoeniclus,2004,03/05/2004
Sävsparv, Emberiza schoeniclus,2005,21/04/2005
Sävsparv, Emberiza schoeniclus,2006,22/04/2006
Sävsparv, Emberiza schoeniclus,2007,20/04/2007
Sävsparv, Emberiza schoeniclus,2008,29/04/2008
Sävsparv, Emberiza schoeniclus,2009,07/04/2009
Sävsparv, Emberiza schoeniclus,2010,02/05/2010
Sävsparv, Emberiza schoeniclus,2011,25/04/2011
Sävsparv, Emberiza schoeniclus,2012,03/05/2012
Sävsparv, Emberiza schoeniclus,2013,01/05/2013
Sävsparv, Emberiza schoeniclus,2014,19/04/2014
Sävsparv, Emberiza schoeniclus,2015,28/04/2015
Sävsparv, Emberiza schoeniclus,2016,12/04/2016
Sävsparv, Emberiza schoeniclus,2017,10/04/2017
Sävsångare, Acrocephalus schoenobaenus,1950,19/05/1950
Sävsångare, Acrocephalus schoenobaenus,1951,10/05/1951
Sävsångare, Acrocephalus schoenobaenus,1952,19/05/1952
Sävsångare, Acrocephalus schoenobaenus,1953,15/05/1953
Sävsångare, Acrocephalus schoenobaenus,1954,25/05/1954
Sävsångare, Acrocephalus schoenobaenus,1955,22/05/1955
Sävsångare, Acrocephalus schoenobaenus,1956,23/05/1956
Sävsångare, Acrocephalus schoenobaenus,1957,30/05/1957
Sävsångare, Acrocephalus schoenobaenus,1958,23/05/1958
Sävsångare, Acrocephalus schoenobaenus,1959,23/05/1959
Sävsångare, Acrocephalus schoenobaenus,1960,21/05/1960
Sävsångare, Acrocephalus schoenobaenus,1961,20/05/1961
Sävsångare, Acrocephalus schoenobaenus,1962,28/05/1962
Sävsångare, Acrocephalus schoenobaenus,1963,23/05/1963
Sävsångare, Acrocephalus schoenobaenus,1964,15/05/1964
Sävsångare, Acrocephalus schoenobaenus,1965,24/05/1965
Sävsångare, Acrocephalus schoenobaenus,1967,08/05/1967
Sävsångare, Acrocephalus schoenobaenus,1968,22/05/1968
Sävsångare, Acrocephalus schoenobaenus,1969,02/06/1969
Sävsångare, Acrocephalus schoenobaenus,1970,29/05/1970
Sävsångare, Acrocephalus schoenobaenus,1971,23/05/1971
Sävsångare, Acrocephalus schoenobaenus,1972,21/05/1972
Sävsångare, Acrocephalus schoenobaenus,1973,22/05/1973
Sävsångare, Acrocephalus schoenobaenus,1974,24/05/1974
Sävsångare, Acrocephalus schoenobaenus,1975,22/05/1975
Sävsångare, Acrocephalus schoenobaenus,1976,22/05/1976
Sävsångare, Acrocephalus schoenobaenus,1977,22/05/1977
Sävsångare, Acrocephalus schoenobaenus,1978,27/05/1978
Sävsångare, Acrocephalus schoenobaenus,1979,19/05/1979
Sävsångare, Acrocephalus schoenobaenus,1980,23/05/1980
Sävsångare, Acrocephalus schoenobaenus,1981,20/05/1981
Sävsångare, Acrocephalus schoenobaenus,1982,26/05/1982
Sävsångare, Acrocephalus schoenobaenus,1983,13/05/1983
Sävsångare, Acrocephalus schoenobaenus,1984,19/05/1984
Sävsångare, Acrocephalus schoenobaenus,1985,21/05/1985
Sävsångare, Acrocephalus schoenobaenus,1986,24/05/1986
Sävsångare, Acrocephalus schoenobaenus,1987,28/05/1987
Sävsångare, Acrocephalus schoenobaenus,1988,01/06/1988
Sävsångare, Acrocephalus schoenobaenus,1989,23/05/1989
Sävsångare, Acrocephalus schoenobaenus,1990,05/06/1990
Sävsångare, Acrocephalus schoenobaenus,1991,08/06/1991
Sävsångare, Acrocephalus schoenobaenus,1992,02/06/1992
Sävsångare, Acrocephalus schoenobaenus,1993,31/05/1993
Sävsångare, Acrocephalus schoenobaenus,1994,18/05/1994
Sävsångare, Acrocephalus schoenobaenus,1995,25/05/1995
Sävsångare, Acrocephalus schoenobaenus,1996,25/05/1996
Sävsångare, Acrocephalus schoenobaenus,1997,24/05/1997
Sävsångare, Acrocephalus schoenobaenus,1998,28/05/1998
Sävsångare, Acrocephalus schoenobaenus,1999,11/05/1999
Sävsångare, Acrocephalus schoenobaenus,2001,29/05/2001
Sävsångare, Acrocephalus schoenobaenus,2002,19/05/2002
Sävsångare, Acrocephalus schoenobaenus,2003,23/05/2003
Sävsångare, Acrocephalus schoenobaenus,2004,20/05/2004
Sävsångare, Acrocephalus schoenobaenus,2005,18/05/2005
Sävsångare, Acrocephalus schoenobaenus,2006,25/05/2006
Sävsångare, Acrocephalus schoenobaenus,2007,26/05/2007
Sävsångare, Acrocephalus schoenobaenus,2008,13/05/2008
Sävsångare, Acrocephalus schoenobaenus,2009,22/05/2009
Sävsångare, Acrocephalus schoenobaenus,2010,28/05/2010
Sävsångare, Acrocephalus schoenobaenus,2011,19/05/2011
Sävsångare, Acrocephalus schoenobaenus,2012,29/05/2012
Sävsångare, Acrocephalus schoenobaenus,2013,19/05/2013
Sävsångare, Acrocephalus schoenobaenus,2014,26/05/2014
Sävsångare, Acrocephalus schoenobaenus,2015,11/05/2015
Sävsångare, Acrocephalus schoenobaenus,2016,11/05/2016
Sävsångare, Acrocephalus schoenobaenus,2017,20/05/2017
Sädesärla, Motacilla alba,1951,23/04/1951
Sädesärla, Motacilla alba,1953,30/04/1953
Sädesärla, Motacilla alba,1954,25/05/1954
Sädesärla, Motacilla alba,1955,23/05/1955
Sädesärla, Motacilla alba,1956,23/05/1956
Sädesärla, Motacilla alba,1957,19/04/1957
Sädesärla, Motacilla alba,1958,03/05/1958
Sädesärla, Motacilla alba,1959,14/05/1959
Sädesärla, Motacilla alba,1960,06/06/1960
Sädesärla, Motacilla alba,1961,21/04/1961
Sädesärla, Motacilla alba,1962,18/05/1962
